Tank,Pop,Treatment,PopxTreat,Date_food_treatment_began,Date_fry_born,Date_gonopodium,Brood_size,Mother_SL_mm
01-BON-L,BON,L,BON-L,6/24/19,7/8/19,8/26/19,22,
02-BON-L,BON,L,BON-L,6/24/19,6/21/19,7/24/19,12,
03-PSO-H,PSO,H,PSO-H,6/24/19,6/24/19,,3,39
03-PSO-H-2ndBrood,PSO,H,PSO-H,7/11/19,,,,
04-PSO-H,PSO,H,PSO-H,6/24/19,8/7/19,,40,45
05-PSO-L,PSO,L,PSO-L,6/24/19,,,,
06-BON-H,BON,H,BON-H,7/11/19,8/8/19,9/16/19,42,57
07-BON-H,BON,H,BON-H,6/24/19,7/22/19,9/9/19,26,45
08-PSO-L,PSO,L,PSO-L,6/24/19,,,,
09-BON-L,BON,L,BON-L,6/24/19,6/21/19,,14,
10-BON-H,BON,H,BON-H,6/24/19,8/20/19,,17,49
11-PSO-H,PSO,H,PSO-H,6/24/19,7/9/19,,20,55
12-BON-H,BON,H,BON-H,6/24/19,6/22/19,7/22/19,25,66
13-BON-H,BON,H,BON-H,6/24/19,7/2/19,8/15/19,6,46
14-BON-H,BON,H,BON-H,6/24/19,7/24/19,9/2/19,11,35
15-PSO-H,PSO,H,PSO-H,6/24/19,,,,
16-PSO-H,PSO,H,PSO-H,6/24/19,,,,
17-PSO-L,PSO,L,PSO-L,6/24/19,7/8/19,8/14/19,6,35
18-BON-L,BON,L,BON-L,6/24/19,7/8/19,,7,45
19-PSO-H,PSO,H,PSO-H,6/24/19,7/24/19,9/26/19,23,42
20-PSO-H,PSO,H,PSO-H,6/24/19,9/25/19,11/15/19,55,49
21-BON-H,BON,H,BON-H,6/24/19,6/26/19,8/4/19,8,
22-BON-H,BON,H,BON-H,6/24/19,6/27/19,8/15/19,48,67
23-PSO-H,PSO,H,PSO-H,6/24/19,6/29/19,8/15/19,13,44
24-PSO-H,PSO,H,PSO-H,6/24/19,8/6/19,9/17/19,34,50
25-PSO-L,PSO,L,PSO-L,6/24/19,,,,
26-PSO-L,PSO,L,PSO-L,6/24/19,,,,
27-BON-L,BON,L,BON-L,6/24/19,6/27/19,7/28/19,5,45
28-PSO-L,PSO,L,PSO-L,6/24/19,,,,
29-BON-H,BON,H,BON-H,6/24/19,7/2/19,8/4/19,7,46
30-PSO-L,PSO,L,PSO-L,8/6/19,8/27/19,,25,45
31-PSO-H,PSO,H,PSO-H,7/8/19,7/19/19,9/2/19,26,49
32-PSO-L,PSO,L,PSO-L,6/24/19,7/2/19,9/2/19,9,48
33-PSO-L,PSO,L,PSO-L,6/24/19,10/1/19,,7,41
34-PSO-L,PSO,L,PSO-L,6/24/19,,,,
35-BON-L,BON,L,BON-L,6/24/19,6/30/19,7/30/19,33,65
36-BON-H,BON,H,BON-H,6/24/19,,,,
37-BON-L,BON,L,BON-L,6/24/19,,,,
38-BON-L,BON,L,BON-L,6/24/19,,,,
39-PSO-H,PSO,H,PSO-H,6/24/19,9/16/19,,9,40
40-BON-L,BON,L,BON-L,6/24/19,6/24/19,,3,37
40-BON-L-2ndBrood,BON,L,BON-L,7/11/19,8/15/19,10/29/19,11,37
41-BON-H,BON,H,BON-H,6/24/19,8/5/19,9/13/19,72,49
42-BON-H,BON,H,BON-H,6/24/19,,,,
43-BON-L,BON,L,BON-L,6/24/19,7/28/19,9/12/19,17,42
44-BON-L,BON,L,BON-L,6/24/19,,,,
45-BON-L,BON,L,BON-L,6/24/19,,,,
46-PSO-L,PSO,L,PSO-L,6/24/19,,,,
47-BON-H,BON,H,BON-H,6/24/19,8/12/19,10/13/19,17,46
48-PSO-H,PSO,H,PSO-H,7/10/19,7/11/19,10/2/19,5,
49-BON-H,BON,H,BON-H,6/24/19,,,,
50-PSO-L,PSO,L,PSO-L,6/24/19,,,,
51-PSO-L,PSO,L,PSO-L,6/24/19,,,,
52-BON-H,BON,H,BON-H,6/24/19,7/8/19,,4,47
52-BON-H-2ndBrood,BON,H,BON-H,6/24/19,7/29/19,9/23/19,38,47
53-BON-L,BON,L,BON-L,6/24/19,7/16/19,8/29/19,18,46
54-PSO-L,PSO,L,PSO-L,7/9/19,8/19/19,10/15/19,9,35
55-BON-L,BON,L,BON-L,6/24/19,,,,
56-PSO-H,PSO,H,PSO-H,6/24/19,8/27/19,,6,43
57-PSO-L,PSO,L,PSO-L,6/24/19,8/19/19,,6,29
58-PSO-H,PSO,H,PSO-H,6/24/19,7/8/19,,4,39
58-PSO-H-2ndBrood,PSO,H,PSO-H,6/24/19,8/3/19,,26,39
59-PSO-H,PSO,H,PSO-H,6/24/19,,,,
60-BON-L,BON,L,BON-L,6/24/19,8/5/19,9/16/19,15,39
