Video.file,Tank,Pop,Treatment,Date,Frame.Rate.In.Video.fps,Frame.C-start.began,Frame.C-start.ended,Notes
00694.mp4,02-BON-L,BON,L,6/24/19,60,132,136,
00698.mp4,03-PSO-H,PSO,H,6/24/19,60,138,142,
00704.mp4,09-BON-L,BON,L,6/24/19,60,150,154,
00706.mp4,12-BON-H,BON,H,6/24/19,60,226,230,
00708.mp4,40-BON-L,BON,L,6/24/19,60,58,66,
00710.mp4,01-BON-L,BON,L,7/11/19,60,73,79,
00714.mp4,02-BON-L,BON,L,7/11/19,60,54,61,
00715.mp4,09-BON-L,BON,L,7/11/19,60,418,424,
00719.mp4,11-PSO-H,PSO,H,7/11/19,60,139,143,
00721.mp4,12-BON-H,BON,H,7/11/19,60,234,239,
00722.mp4,13-BON-H,BON,H,7/11/19,60,508,513,
00731.mp4,17-PSO-L,PSO,L,7/11/19,60,35,51,
00734.mp4,18-BON-L,BON,L,7/11/19,60,183,188,
00741.mp4,21-BON-H,BON,H,7/11/19,60,396,401,
00744.mp4,22-BON-H,BON,H,7/11/19,60,227,235,
00745.mp4,23-PSO-H,PSO,H,7/11/19,60,304,308,
00749.mp4,27-BON-L,BON,L,7/11/19,60,206,212,
00751.mp4,29-BON-H,BON,H,7/11/19,60,228,234,
00752.mp4,32-PSO-L,PSO,L,7/11/19,60,252,257,
00753.mp4,35-BON-L,BON,L,7/11/19,60,182,188,
00756.mp4,48-PSO-H,PSO,H,7/11/19,60,109,116,
00779.mp4,01-BON-L,BON,L,7/18/19,60,193,197,
00782.mp4,02-BON-L,BON,L,7/18/19,60,146,152,
00784.mp4,09-BON-L,BON,L,7/18/19,60,118,122,
00787.mp4,11-PSO-H,PSO,H,7/18/19,60,114,121,
00791.mp4,12-BON-H,BON,H,7/18/19,60,114,124,
00793.mp4,13-BON-H,BON,H,7/18/19,60,134,140,
00797.mp4,17-PSO-L,PSO,L,7/18/19,60,351,360,
00801.mp4,18-BON-L,BON,L,7/18/19,60,490,496,
00802.mp4,21-BON-H,BON,H,7/18/19,60,301,311,
00806.mp4,22-BON-H,BON,H,7/18/19,60,224,235,
00809.mp4,23-PSO-H,PSO,H,7/18/19,60,165,171,
00811.mp4,27-BON-L,BON,L,7/18/19,60,306,313,
00815.mp4,29-BON-H,BON,H,7/18/19,60,100,105,
00819.mp4,32-PSO-L,PSO,L,7/18/19,60,221,227,
00821.mp4,35-BON-L,BON,L,7/18/19,60,130,136,
00825.mp4,48-PSO-H,PSO,H,7/18/19,60,198,202,
00827.mp4,58-PSO-H,PSO,H,7/18/19,60,446,450,
00861.mp4,01-BON-L,BON,L,7/30/19,60,373,378,
00866.mp4,07-BON-H,BON,H,7/30/19,60,169,172,
00869.mp4,09-BON-L,BON,L,7/30/19,60,92,99,
00872.mp4,11-PSO-H,PSO,H,7/30/19,60,140,146,
00877.mp4,12-BON-H,BON,H,7/30/19,60,78,86,
00880.mp4,13-BON-H,BON,H,7/30/19,60,54,61,
00883.mp4,14-BON-H,BON,H,7/30/19,60,241,246,
00885.mp4,17-PSO-L,PSO,L,7/30/19,60,126,132,
00891.mp4,18-BON-L,BON,L,7/30/19,60,250,259,
00892.mp4,19-PSO-H,PSO,H,7/30/19,60,60,64,
00897.mp4,21-BON-H,BON,H,7/30/19,60,204,213,
00898.mp4,22-BON-H,BON,H,7/30/19,60,181,190,
00902.mp4,23-PSO-H,PSO,H,7/30/19,60,119,125,
00904.mp4,27-BON-L,BON,L,7/30/19,60,137,149,
00908.mp4,29-BON-H,BON,H,7/30/19,60,91,100,
00912.mp4,31-PSO-H,PSO,H,7/30/19,60,133,139,
00913.mp4,32-PSO-L,PSO,L,7/30/19,60,165,175,
00918.mp4,35-BON-L,BON,L,7/30/19,60,105,112,
00920.mp4,43-BON-L,BON,L,7/30/19,60,NA,NA,
00922.mp4,48-PSO-H,PSO,H,7/30/19,60,274,281,No noticeable C-start
00925.mp4,52-BON-H-2ndBrood,BON,H,7/30/19,60,108,114,
00929.mp4,53-BON-L,BON,L,7/30/19,60,181,188,
00932.mp4,01-BON-L,BON,L,8/6/19,60,130,140,
00936.mp4,02-BON-L,BON,L,8/6/19,60,84,103,
00941.mp4,07-BON-H,BON,H,8/6/19,60,60,65,
00946.mp4,09-BON-L,BON,L,8/6/19,60,126,139,
00948.mp4,11-PSO-H,PSO,H,8/6/19,60,88,94,
00953.mp4,12-BON-H,BON,H,8/6/19,60,129,141,
