"","Raw.Filename","Successful.Feeding.Strikes","Unsuccessful.Feeding.Strikes","Success.Accuracy","Pop","Food.Treatment","Date","Tank","AgeAtMeasurement.days","date.food.treat.began","fry.birth.date","time.mother.in.food.treatment","brood.size","mom.sl"
"2","06-27-19_09-BON-L.txt","7","3","0.7","09-BON-L","L","06-27-19","09-BON-L",6,2019-06-24,2019-06-21,0,14,NA
"3","06-27-19_12-BON-H.txt","7","1","0.875","12-BON-H","H","06-27-19","12-BON-H",5,2019-06-24,2019-06-22,0,25,66
"4","06-27-19_21-BON-H.txt","2","0","1","21-BON-H","H","06-27-19","21-BON-H",1,2019-06-24,2019-06-26,2,8,NA
"5","06-27-19_27-BON-L.txt","7","2","0.777777777777778","27-BON-L","L","06-27-19","27-BON-L",0,2019-06-24,2019-06-27,3,5,45
"6","06-27-19_40-BON-L.txt","5","1","0.833333333333333","40-BON-L","L","06-27-19","40-BON-L",3,2019-06-24,2019-06-24,0,3,37
"7","07-10-19_52-BON-H.txt","3","1","0.75","52-BON-H","H","07-10-19","52-BON-H",2,2019-06-24,2019-07-08,14,4,47
"8","07-17-19_01-BON-L.txt","5","1","0.833333333333333","01-BON-L","L","07-17-19","01-BON-L",9,2019-06-24,2019-07-08,14,22,NA
"9","07-17-19_02-BON-L.txt","1","1","0.5","02-BON-L","L","07-17-19","02-BON-L",26,2019-06-24,2019-06-21,0,12,NA
"10","07-17-19_09-BON-L.txt","6","3","0.666666666666667","09-BON-L","L","07-17-19","09-BON-L",26,2019-06-24,2019-06-21,0,14,NA
"11","07-17-19_11-PSO-H.txt","4","1","0.8","11-PSO-H","H","07-17-19","11-PSO-H",8,2019-06-24,2019-07-09,15,20,55
"12","07-17-19_12-BON-H.txt","48","21","0.695652173913043","12-BON-H","H","07-17-19","12-BON-H",25,2019-06-24,2019-06-22,0,25,66
"13","07-17-19_13-BON-H.txt","6","3","0.666666666666667","13-BON-H","H","07-17-19","13-BON-H",15,2019-06-24,2019-07-02,8,6,46
"14","07-17-19_17-PSO-L.txt","11","6","0.647058823529412","17-PSO-L","L","07-17-19","17-PSO-L",9,2019-06-24,2019-07-08,14,6,35
"15","07-17-19_18-BON-L.txt","6","0","1","18-BON-L","L","07-17-19","18-BON-L",9,2019-06-24,2019-07-08,14,7,45
"16","07-17-19_21-BON-H.txt","25","9","0.735294117647059","21-BON-H","H","07-17-19","21-BON-H",21,2019-06-24,2019-06-26,2,8,NA
"17","07-17-19_22-BON-H.txt","15","3","0.833333333333333","22-BON-H","H","07-17-19","22-BON-H",20,2019-06-24,2019-06-27,3,48,67
"18","07-17-19_23-PSO-H.txt","12","6","0.666666666666667","23-PSO-H","H","07-17-19","23-PSO-H",18,2019-06-24,2019-06-29,5,13,44
"19","07-17-19_27-BON-L.txt","12","4","0.75","27-BON-L","L","07-17-19","27-BON-L",20,2019-06-24,2019-06-27,3,5,45
"20","07-19-19_29-BON-H.txt","32","11","0.744186046511628","29-BON-H","H","07-19-19","29-BON-H",17,2019-06-24,2019-07-02,8,7,46
"21","07-19-19_31-PSO-H.txt","12","2","0.857142857142857","31-PSO-H","H","07-19-19","31-PSO-H",0,2019-07-08,2019-07-19,11,26,49
"22","07-19-19_32-PSO-L.txt","11","6","0.647058823529412","32-PSO-L","L","07-19-19","32-PSO-L",17,2019-06-24,2019-07-02,8,9,48
"23","07-19-19_35-BON-L.txt","16","8","0.666666666666667","35-BON-L","L","07-19-19","35-BON-L",19,2019-06-24,2019-06-30,6,33,65
"24","07-19-19_48-PSO-H.txt","8","6","0.571428571428571","48-PSO-H","H","07-19-19","48-PSO-H",8,2019-07-10,2019-07-11,1,5,NA
"25","07-19-19_53-BON-L.txt","6","2","0.75","53-BON-L","L","07-19-19","53-BON-L",3,2019-06-24,2019-07-16,22,18,46
"26","07-25-19_01-BON-L.txt","10","3","0.769230769230769","01-BON-L","L","07-25-19","01-BON-L",17,2019-06-24,2019-07-08,14,22,NA
"27","07-25-19_02-BON-L.txt","37","15","0.711538461538462","02-BON-L","L","07-25-19","02-BON-L",34,2019-06-24,2019-06-21,0,12,NA
"28","07-25-19_07-BON-H.txt","15","6","0.714285714285714","07-BON-H","H","07-25-19","07-BON-H",3,2019-06-24,2019-07-22,28,26,45
"29","07-25-19_09-BON-L.txt","3","1","0.75","09-BON-L","L","07-25-19","09-BON-L",34,2019-06-24,2019-06-21,0,14,NA
"30","07-25-19_11-PSO-H.txt","1","0","1","11-PSO-H","H","07-25-19","11-PSO-H",16,2019-06-24,2019-07-09,15,20,55
"31","07-25-19_12-BON-H.txt","14","8","0.636363636363636","12-BON-H","H","07-25-19","12-BON-H",33,2019-06-24,2019-06-22,0,25,66
"32","07-25-19_13-BON-H.txt","7","2","0.777777777777778","13-BON-H","H","07-25-19","13-BON-H",23,2019-06-24,2019-07-02,8,6,46
