"","Raw.Filename","Successful.Feeding.Strikes","Unsuccessful.Feeding.Strikes","Success.Accuracy","Pop","Tank","Food.Treatment","Date","AgeAtMeasurement.days","date.food.treat.began","fry.birth.date","time.mother.in.food.treatment","brood.size","mom.sl","week.of.measure","mom.sl.2"
"11","07-17-19_11-PSO-H.txt",4,1,0.8,"PSO","11-PSO-H","H",2019-07-17,8,2019-06-24,2019-07-09,15,20,55,2,55
"14","07-17-19_17-PSO-L.txt",11,6,0.647058823529412,"PSO","17-PSO-L","L",2019-07-17,9,2019-06-24,2019-07-08,14,6,35,2,35
"18","07-17-19_23-PSO-H.txt",12,6,0.666666666666667,"PSO","23-PSO-H","H",2019-07-17,18,2019-06-24,2019-06-29,5,13,44,3,44
"21","07-19-19_31-PSO-H.txt",12,2,0.857142857142857,"PSO","31-PSO-H","H",2019-07-19,0,2019-07-08,2019-07-19,11,26,49,1,49
"22","07-19-19_32-PSO-L.txt",11,6,0.647058823529412,"PSO","32-PSO-L","L",2019-07-19,17,2019-06-24,2019-07-02,8,9,48,3,48
"24","07-19-19_48-PSO-H.txt",8,6,0.571428571428571,"PSO","48-PSO-H","H",2019-07-19,8,2019-07-10,2019-07-11,1,5,NA,2,43.4545454545455
"30","07-25-19_11-PSO-H.txt",1,0,1,"PSO","11-PSO-H","H",2019-07-25,16,2019-06-24,2019-07-09,15,20,55,3,55
"34","07-25-19_17-PSO-L.txt",6,3,0.666666666666667,"PSO","17-PSO-L","L",2019-07-25,17,2019-06-24,2019-07-08,14,6,35,3,35
"36","07-25-19_19-PSO-H.txt",2,1,0.666666666666667,"PSO","19-PSO-H","H",2019-07-25,1,2019-06-24,2019-07-24,30,23,42,1,42
"38","07-26-19_23-PSO-H.txt",3,1,0.75,"PSO","23-PSO-H","H",2019-07-26,27,2019-06-24,2019-06-29,5,13,44,4,44
"41","07-26-19_31-PSO-H.txt",5,4,0.555555555555556,"PSO","31-PSO-H","H",2019-07-26,7,2019-07-08,2019-07-19,11,26,49,1,49
"42","07-26-19_32-PSO-L.txt",10,4,0.714285714285714,"PSO","32-PSO-L","L",2019-07-26,24,2019-06-24,2019-07-02,8,9,48,4,48
"44","07-26-19_48-PSO-H.txt",8,4,0.666666666666667,"PSO","48-PSO-H","H",2019-07-26,15,2019-07-10,2019-07-11,1,5,NA,3,43.4545454545455
"48","08-07-19_04-PSO-H.txt",13,4,0.764705882352941,"PSO","04-PSO-H","H",2019-08-07,0,2019-06-24,2019-08-07,44,40,45,1,45
"50","08-07-19_11-PSO-H.txt",1,1,0.5,"PSO","11-PSO-H","H",2019-08-07,29,2019-06-24,2019-07-09,15,20,55,5,55
"53","08-07-19_19-PSO-H.txt",3,2,0.6,"PSO","19-PSO-H","H",2019-08-07,14,2019-06-24,2019-07-24,30,23,42,2,42
"55","08-07-19_24-PSO-H.txt",3,3,0.5,"PSO","24-PSO-H","H",2019-08-07,1,2019-06-24,2019-08-06,43,34,50,1,50
"57","08-07-19_32-PSO-L.txt",14,9,0.608695652173913,"PSO","32-PSO-L","L",2019-08-07,36,2019-06-24,2019-07-02,8,9,48,6,48
"59","08-07-19_48-PSO-H.txt",5,1,0.833333333333333,"PSO","48-PSO-H","H",2019-08-07,27,2019-07-10,2019-07-11,1,5,NA,4,43.4545454545455
"66","08-21-19_11-PSO-H.txt",2,2,0.5,"PSO","11-PSO-H","H",2019-08-21,43,2019-06-24,2019-07-09,15,20,55,7,55
"68","08-22-19_19-PSO-H.txt",5,2,0.714285714285714,"PSO","19-PSO-H","H",2019-08-22,29,2019-06-24,2019-07-24,30,23,42,5,42
