"","Tank","Date","Avg_SL_mm","Pop","Treatment","Pop_x_Treat","Growth","Age","Birthday","brood.size","mom.sl","date.food.treatment.began","days.mother.in.food.treatment","gonopodium_date","age.at.gonopodium.days","earliest.size.measurement.mm","Time.diff.days","Rel.Growth.Rate.body.lengths.per.day","week.of.measure","mom.sl.2"
"122","04-PSO-H","2019-08-26",16.4982857142857,"PSO","H","PSO-H",7.93859340659341,19,"2019-08-07",40,45,"2019-06-24",44,NA,NA,8.55969230769231,19,0.0488125846807248,3,45
"146","04-PSO-H","2019-09-30",26.2584166666667,"PSO","H","PSO-H",9.76013095238095,54,"2019-08-07",40,45,"2019-06-24",44,NA,NA,8.55969230769231,35,0.0169024157529457,8,45
"36","11-PSO-H","2019-07-15",12.2108928571429,"PSO","H","PSO-H",2.41129285714286,6,"2019-07-09",20,55,"2019-06-24",15,NA,NA,9.7996,6,0.041010055804027,1,55
"69","11-PSO-H","2019-07-29",17.8866923076923,"PSO","H","PSO-H",5.67579945054945,20,"2019-07-09",20,55,"2019-06-24",15,NA,NA,9.7996,14,0.0332010321612696,3,55
"92","11-PSO-H","2019-08-05",20.4264615384615,"PSO","H","PSO-H",2.53976923076923,27,"2019-07-09",20,55,"2019-06-24",15,NA,NA,9.7996,7,0.0202845875348423,4,55
"39","17-PSO-L","2019-07-15",13.7116666666667,"PSO","L","PSO-L",2.73991666666667,7,"2019-07-08",6,35,"2019-06-24",14,"2019-08-14",37,10.97175,7,0.0356749530992473,1,35
"52","17-PSO-L","2019-07-22",18.0711666666667,"PSO","L","PSO-L",4.3595,14,"2019-07-08",6,35,"2019-06-24",14,"2019-08-14",37,10.97175,7,0.0454201323169355,2,35
"73","17-PSO-L","2019-07-29",19.2756666666667,"PSO","L","PSO-L",1.2045,21,"2019-07-08",6,35,"2019-06-24",14,"2019-08-14",37,10.97175,7,0.00952187712865403,3,35
"96","17-PSO-L","2019-08-05",23.8806,"PSO","L","PSO-L",4.60493333333334,28,"2019-07-08",6,35,"2019-06-24",14,"2019-08-14",37,10.97175,7,0.0341283977578442,4,35
"75","19-PSO-H","2019-07-29",10.9124,"PSO","H","PSO-H",1.71293333333333,5,"2019-07-24",23,42,"2019-06-24",30,"2019-09-26",64,9.19946666666667,5,0.0372398399907241,1,42
"98","19-PSO-H","2019-08-05",14.6217333333333,"PSO","H","PSO-H",3.70933333333333,12,"2019-07-24",23,42,"2019-06-24",30,"2019-09-26",64,9.19946666666667,7,0.0485598733463548,2,42
"128","19-PSO-H","2019-08-26",21.2710666666667,"PSO","H","PSO-H",6.64933333333333,33,"2019-07-24",23,42,"2019-06-24",30,"2019-09-26",64,9.19946666666667,21,0.0216550879035035,5,42
"148","20-PSO-H","2019-09-30",11.4171111111111,"PSO","H","PSO-H",1.97371111111111,5,"2019-09-25",55,49,"2019-06-24",93,"2019-11-15",51,9.4434,4,0.0522510724715439,1,49
"159","20-PSO-H","2019-10-17",18.8814545454545,"PSO","H","PSO-H",7.46434343434343,22,"2019-09-25",55,49,"2019-06-24",93,"2019-11-15",51,9.4434,17,0.038457979542855,4,49
"167","20-PSO-H","2019-10-24",21.1558666666667,"PSO","H","PSO-H",2.27441212121212,29,"2019-09-25",55,49,"2019-06-24",93,"2019-11-15",51,9.4434,7,0.0172082090674649,5,49
"179","20-PSO-H","2019-11-11",25.0824615384615,"PSO","H","PSO-H",3.92659487179487,47,"2019-09-25",55,49,"2019-06-24",93,"2019-11-15",51,9.4434,18,0.0103112844763703,7,49
"28","23-PSO-H","2019-07-08",13.6391538461538,"PSO","H","PSO-H",3.50851748251748,9,"2019-06-29",13,44,"2019-06-24",5,"2019-08-15",47,10.1306363636364,9,0.0384808280390537,2,44
"43","23-PSO-H","2019-07-15",15.9663846153846,"PSO","H","PSO-H",2.32723076923077,16,"2019-06-29",13,44,"2019-06-24",5,"2019-08-15",47,10.1306363636364,7,0.0243755252130462,3,44
"56","23-PSO-H","2019-07-22",17.6444615384615,"PSO","H","PSO-H",1.67807692307692,23,"2019-06-29",13,44,"2019-06-24",5,"2019-08-15",47,10.1306363636364,7,0.0150143742932438,4,44
"78","23-PSO-H","2019-07-29",19.7185384615385,"PSO","H","PSO-H",2.07407692307692,30,"2019-06-29",13,44,"2019-06-24",5,"2019-08-15",47,10.1306363636364,7,0.0167926180490594,5,44
"101","23-PSO-H","2019-08-05",22.307,"PSO","H","PSO-H",2.58846153846154,37,"2019-06-29",13,44,"2019-06-24",5,"2019-08-15",47,10.1306363636364,7,0.0187529223071723,6,44
"129","24-PSO-H","2019-08-26",17.5905333333333,"PSO","H","PSO-H",8.29393333333333,20,"2019-08-06",34,50,"2019-06-24",43,"2019-09-17",42,9.2966,20,0.0446073474890462,3,50
"149","30-PSO-L","2019-09-30",23.2639285714286,"PSO","L","PSO-L",13.3064619047619,34,"2019-08-27",25,45,"2019-08-06",21,NA,NA,9.95746666666667,34,0.0393038249297657,5,45
"160","30-PSO-L","2019-10-17",24.9526428571429,"PSO","L","PSO-L",1.68871428571428,51,"2019-08-27",25,45,"2019-08-06",21,NA,NA,9.95746666666667,17,0.0042699638691197,8,45
"168","30-PSO-L","2019-10-24",24.6022,"PSO","L","PSO-L",-0.350442857142856,58,"2019-08-27",25,45,"2019-08-06",21,NA,NA,9.95746666666667,7,-0.0020063311767311,9,45
"180","30-PSO-L","2019-11-11",26.4536,"PSO","L","PSO-L",1.8514,76,"2019-08-27",25,45,"2019-08-06",21,NA,NA,9.95746666666667,18,0.00418074625665817,11,45
"59","31-PSO-H","2019-07-22",12.1481333333333,"PSO","H","PSO-H",1.47566666666667,3,"2019-07-19",26,49,"2019-07-08",11,"2019-09-02",45,10.6724666666667,3,0.0460895221556612,1,49
"81","31-PSO-H","2019-07-29",15.357,"PSO","H","PSO-H",3.20886666666667,10,"2019-07-19",26,49,"2019-07-08",11,"2019-09-02",45,10.6724666666667,7,0.0377349763318527,2,49
"104","31-PSO-H","2019-08-05",18.9038666666667,"PSO","H","PSO-H",3.54686666666667,17,"2019-07-19",26,49,"2019-07-08",11,"2019-09-02",45,10.6724666666667,7,0.0329944154519267,3,49
"131","31-PSO-H","2019-08-27",24.3792857142857,"PSO","H","PSO-H",5.47541904761905,39,"2019-07-19",26,49,"2019-07-08",11,"2019-09-02",45,10.6724666666667,22,0.0131657024655988,6,49
"46","32-PSO-L","2019-07-15",15.94925,"PSO","L","PSO-L",5.54897222222222,13,"2019-07-02",9,48,"2019-06-24",8,"2019-09-02",62,10.4002777777778,12,0.0444617309010621,2,48
