"","Tank","Pop","Treatment","PopxTreat","Date_food_treatment_began","Date_fry_born","Date_gonopodium","Brood_size","Mother_SL_mm","days_maternal_treatment_before_birth","fry_age_at_gonopodium","mom.sl.2"
"18","17-PSO-L","PSO","L","PSO-L",2019-06-24,2019-07-08,2019-08-14,6,35,14,37,35
"20","19-PSO-H","PSO","H","PSO-H",2019-06-24,2019-07-24,2019-09-26,23,42,30,64,42
"21","20-PSO-H","PSO","H","PSO-H",2019-06-24,2019-09-25,2019-11-15,55,49,93,51,49
"24","23-PSO-H","PSO","H","PSO-H",2019-06-24,2019-06-29,2019-08-15,13,44,5,47,44
"25","24-PSO-H","PSO","H","PSO-H",2019-06-24,2019-08-06,2019-09-17,34,50,43,42,50
"32","31-PSO-H","PSO","H","PSO-H",2019-07-08,2019-07-19,2019-09-02,26,49,11,45,49
"33","32-PSO-L","PSO","L","PSO-L",2019-06-24,2019-07-02,2019-09-02,9,48,8,62,48
"50","48-PSO-H","PSO","H","PSO-H",2019-07-10,2019-07-11,2019-10-02,5,NA,1,83,44
"57","54-PSO-L","PSO","L","PSO-L",2019-07-09,2019-08-19,2019-10-15,9,35,41,57,35
"1","01-BON-L","BON","L","BON-L",2019-06-24,2019-07-08,2019-08-26,22,NA,14,49,48.625
"2","02-BON-L","BON","L","BON-L",2019-06-24,2019-06-21,2019-07-24,12,NA,0,33,48.625
"7","06-BON-H","BON","H","BON-H",2019-07-11,2019-08-08,2019-09-16,42,57,28,39,57
"8","07-BON-H","BON","H","BON-H",2019-06-24,2019-07-22,2019-09-09,26,45,28,49,45
"13","12-BON-H","BON","H","BON-H",2019-06-24,2019-06-22,2019-07-22,25,66,0,30,66
"14","13-BON-H","BON","H","BON-H",2019-06-24,2019-07-02,2019-08-15,6,46,8,44,46
"15","14-BON-H","BON","H","BON-H",2019-06-24,2019-07-24,2019-09-02,11,35,30,40,35
"22","21-BON-H","BON","H","BON-H",2019-06-24,2019-06-26,2019-08-04,8,NA,2,39,48.625
"23","22-BON-H","BON","H","BON-H",2019-06-24,2019-06-27,2019-08-15,48,67,3,49,67
"28","27-BON-L","BON","L","BON-L",2019-06-24,2019-06-27,2019-07-28,5,45,3,31,45
"30","29-BON-H","BON","H","BON-H",2019-06-24,2019-07-02,2019-08-04,7,46,8,33,46
"36","35-BON-L","BON","L","BON-L",2019-06-24,2019-06-30,2019-07-30,33,65,6,30,65
"42","40-BON-L-2ndBrood","BON","L","BON-L",2019-07-11,2019-08-15,2019-10-29,11,37,35,75,37
"43","41-BON-H","BON","H","BON-H",2019-06-24,2019-08-05,2019-09-13,72,49,42,39,49
"45","43-BON-L","BON","L","BON-L",2019-06-24,2019-07-28,2019-09-12,17,42,34,46,42
"49","47-BON-H","BON","H","BON-H",2019-06-24,2019-08-12,2019-10-13,17,46,49,62,46
"55","52-BON-H-2ndBrood","BON","H","BON-H",2019-06-24,2019-07-29,2019-09-23,38,47,35,56,47
"56","53-BON-L","BON","L","BON-L",2019-06-24,2019-07-16,2019-08-29,18,46,22,44,46
"64","60-BON-L","BON","L","BON-L",2019-06-24,2019-08-05,2019-09-16,15,39,42,42,39
