"","tanks","treatments","populations","dates","max.veloc","max.accel","net.dist.traveled","birth.date","days_mom_in_food_treat","mom.SL","brood.size","PC1","fry.age.at.test","week.of.measure","mom.sl.2"
"2","03-PSO-H","H","PSO","6/24/19",3650.15730028122,867.070290224956,256.451402162302,2019-06-24,0,39,3,2.87287666695225,0,1,39
"9","11-PSO-H","H","PSO","7/11/19",1259.67318633081,467.297357027461,121.788437012188,2019-07-09,15,55,20,-0.689537065074524,2,1,55
"12","17-PSO-L","L","PSO","7/11/19",1308.27311786854,1043.0653616594,83.4737062806543,2019-07-08,14,35,6,-0.256440564013602,3,1,35
"16","23-PSO-H","H","PSO","7/11/19",1191.17532,796.966231468601,122.908652307263,2019-06-29,5,44,13,-0.349272466965484,12,2,44
"19","32-PSO-L","L","PSO","7/11/19",1302.09191324663,1024.04273958514,138.492567358389,2019-07-02,8,48,9,0.13429837632133,9,2,48
"21","48-PSO-H","H","PSO","7/11/19",607.710750963764,311.044493035697,42.4917672432268,2019-07-11,1,NA,5,-2.0410183597118,0,1,42.728813559322
"25","11-PSO-H","H","PSO","7/18/19",1383.96679597617,958.907810907794,59.6618515078552,2019-07-09,15,55,20,-0.472055149502683,9,2,55
"28","17-PSO-L","L","PSO","7/18/19",681.85912250111,425.485841560519,86.2456671014158,2019-07-08,14,35,6,-1.50839760780531,10,2,35
"32","23-PSO-H","H","PSO","7/18/19",1198.64870534109,627.980629944383,87.9033816067383,2019-06-29,5,44,13,-0.809530755942837,19,3,44
"35","32-PSO-L","L","PSO","7/18/19",875.747338253629,428.666568865995,56.8622945113024,2019-07-02,8,48,9,-1.56080947349111,16,3,48
"37","48-PSO-H","H","PSO","7/18/19",2808.17995968384,1652.86824263874,206.581654913906,2019-07-11,1,NA,5,2.69821269869387,7,1,42.728813559322
"38","58-PSO-H","H","PSO","7/18/19",926.502592056512,728.260936164944,82.9775787430635,2019-07-08,14,39,4,-0.963064379894605,10,2,39
"42","11-PSO-H","H","PSO","7/30/19",1559.93689882462,1011.35961483771,123.895487329753,2019-07-09,15,55,20,0.230799907130697,21,3,55
"46","17-PSO-L","L","PSO","7/30/19",954.236711029875,396.634382466311,77.123227320358,2019-07-08,14,35,6,-1.37686417028278,22,4,35
"48","19-PSO-H","H","PSO","7/30/19",914.464630113215,315.083602319792,100.965087920805,2019-07-24,30,42,23,-1.32648388207801,6,1,42
